Timestamp,User Input,Detected Emotion,Philosophy Book,Music Playlist,Music Status,Session ID
2025-09-11T16:59:17.259635,I feel happy,Joy,positive_psy,resilience,success,8096228369
2025-09-11T18:22:46.538488,I feel excited about my vacation!,Excitement,iching,memory,success,test_restructure
2025-09-11T18:24:09.261552,I feel nervous about my interview tomorrow,Apprehension,analects,resilience,success,final_test
2025-09-11T18:25:37.758940,feel elated,Euphoria,iching,surrealism,success,8096228369
2025-09-11T18:28:25.353831,feel anxious,Anxiety,analects,mindfulness,success,8096228369
2025-09-11T18:47:23.372484,feel much better,Relief,positive_psy,legacy,success,8096228369
2025-09-11T19:09:54.515408,I feel overwhelmed and anxious about my future career decisions,anxiety,positive_psy,mindfulness,success,advanced_test
2025-09-11T19:10:58.709002,I feel overwhelmed and anxious,PANIC,analects,resilience,success,8096228369
2025-09-11T19:12:32.323729,我想成为自己想成为的那样，不需要别人的定义,自由 (Freedom),tao_te_ching,resilience,success,8096228369
2025-09-11T19:14:15.818708,I want to be Sonny Hayes racing on the game,Excitement,iching,memory,success,8096228369
2025-09-11T19:18:45.634271,I am FLYING,Euphoria,iching,surrealism,success,8096228369
2025-09-11T19:40:18.742645,I am flying,Euphoria,iching,surrealism,success,8096228369
2025-09-11T19:40:50.614822,I want to be Sonny Hayes racing on the game,Excitement,iching,memory,success,8096228369
2025-09-11T19:53:47.786277,"I feel overwhelmed and confused about my career choices, but also excited about new possibilities",confusion,iching,memory,success,complex_test
2025-09-11T19:55:17.795199,I want to be Sonny Hayes racing on the game,joy,positive_psy,surrealism,success,8096228369
2025-09-11T20:05:31.575198,I feel confused but hopeful about my future,confusion,analects,memory,success,test_user
2025-09-11T20:08:24.480234,I feel confused but hopeful about my future,confusion,analects,memory,success,8096228369
